Sentiments,Reviews
negative,Not Recommender at all. 0% water proofing and 0% dust proof. Please don’t waste money at it. It can’t withstand just a little bit of water and dust. Even a tissue paper would be better than this 3rd class material. NOTE: it’s not of parachute but it’s kind of a rugged bag which you use for shopping. If anyone of you don’t believe then I can share video as a proof. highly disappointed
neutral,"Good Perfumes. All 6 were different. Their scents are nice too, Although it doesn't stay for long. Packing should have been in a box though."
positive,Good product highly recommended same as the picture I ordered and work well 👍🏻
negative,DO NOT BUY this is the worst experience I’ve ever had on Daraz the light adaptor exploded and short circuited the entire floor. I do not have anything to return as it all EXPLODED. I DEMAND a refund and for this ad to be taken down. I’m very lucky to not have been injured from this even though it did make a tiny dent in my room’s tile because of the burning adaptor and this product should be taken down as it is extremely dangerous
negative,3rd class product. smells very bad.
negative,quality is very poor
positive,fast delivery recommend 
negative,it is a fake one it's sticking like glue on lips not recommended at all
positive,Behtreen same product send good seller
negative,waste of money. not comfortable and it got fold whenever i sit
negative,Not equally balanced. Seller is fraud. This is the most basic thing which seller should check before sending it to customer. Kindly refrain from ordering.
positive,Ordered 2nd time
positive,"wonderful experience. I ordered 3 packets of coffee and received then within two working days, the package was well packed, all coffee packets were properly sealed. and well within expiry date"
neutral,"Product is ok in working condition but housing structure wise much lower,any how over all good product thanks you."
negative,order i7s. double i12 or mjhe ye mle he
neutral,The underwear is good. Good quality. Nice colors. hopefully will stay good after a wash. Only thing is I noticed all the underwear are different sizes. would’ve been better if they all were one size. The product is not for ladies. I think it should mention girls. I got it for my sister who is 9 now and it fit her. not perfectly but yeah.
neutral,overall its good but comb was break it was not attached properly I suggested there should be clipper in place of comb
negative,delivery was on time but it's price is high..and they r smaller in size
negative,It is not charging and it have dent also give me voucher also
negative,"second time ordering 
this time it didnt satisfy 
the leds came with half of the blues burnt"
negative,Too bad. I bought it is nonsense. Battery time is also very short. The sound doesn't come right. The sound is very bad. Don't buy it. This is my advice because I have seen the purchase.
neutral,quality was good but not so effective
neutral,I love this straightener but the packing of the box is very cheap and also the box was is fold
positive,"Bohat hi achi cheez bheji h bohat psand ay muje shoes or size b jo likha whi bheja or delivery to 2 din me hi mill gai fast, thanks daraz& saler"
neutral,"The vacuum cleaner has strong suction, but it's a bit heavy to carry up and down the stairs."
positive,Ya bohat acha ka nacho ka room ka lia but dalivery time late ha
negative,very disappointed from daraz and seller three bottles are leaked and shampoo was empty full bottle was drop strongly disappointed i cant purchase from daraz bad experience
negative,apni zimmedari pr khareedna buhut ghatiya shoes hen .sole plastic ka h or totally uncomfortable h .issy behtar h china ka chappal buy krlo
negative,Boht e bura experience rhaa..1 khrab hai ..or dusry ki sound quality boht buri..Or Cover b toota  hwa.. Allah puchy ap logon ko.. shraft sy return kijeyeee..
positive,nice and good products delivery on time nice paking thanks daraz
positive,I received my parcel today. Delivery is on time... The headphone are the same as shown in picture..The sound nd the quality is great...I am satisfied with my order....
negative,wastage of mony quality is very poor kisi bag ki zip first time m khraab koi ubhi kpry rkhy h to phut gia  
negative,no effect on my teeth
positive,Earphone is very best and sound quality is fantastic no doubt i suggest to other pls follow this 
negative,Very expired product and its smells very bad …
positive,Fresh and economical vegetables. I'm satisfied with my buying experience on daraz.
positive,Thanks So Much Seller and Daraz...Silicone Baking Mat Recieved...Quality 10/10 jo cheaz order kee same wohi cheaz mili i am very happy 😊
positive,"Very nice, excellent..! Very useful product indeed. Totally satisfied with my purchase. very good service by seller & daraz as well. Thanxxx 👍"
positive,"superb item MASHALLAH , very fast Delivery & nice packing. thank you seller, thank you Daraz team"
neutral,Not a leather belt but good in this price range
neutral,cute hair clip little bit expensive but nice 👌👌👌👌
positive,perfect aik dum im satisfied and recommend to all buy this its good 3d light star
negative,Poor Quality ! does'nt work out for me | wasted my money !
positive,Got my parcel on time stuff quality is nice.was a good experience though...👍
